,id,tipo,status
0,804-39-2100,puerta a puerta,finalizado
1,832-83-9199,viaje,en curso
2,519-21-3679,paquetes,No Dsiponible
3,617-21-1600,encomienda,cancelado
4,666-98-5882,encomienda,finalizado
5,967-09-4613,comida,en curso
6,651-25-7337,encomienda,finalizado
7,877-81-3710,comida,cancelado
8,360-96-9584,comida,aceptado
9,992-89-5387,encomienda,cancelado
10,814-59-1753,encomienda,finalizado
11,934-61-9872,viaje,en curso
12,491-53-2934,comida,en curso
13,174-49-5082,viaje,en curso
14,746-29-4996,puerta a puerta,finalizado
15,375-76-0445,encomienda,aceptado
16,677-87-4689,comida,Disponible
17,014-18-2965,encomienda,Disponible
18,515-10-4169,encomienda,aceptado
19,739-33-1767,comida,finalizado
20,057-02-6299,paquetes,Disponible
21,618-75-1981,puerta a puerta,en curso
22,560-76-6857,viaje,cancelado
23,823-66-1805,paquetes,No Dsiponible
24,895-10-0324,encomienda,en curso
25,370-06-1218,encomienda,finalizado
26,094-85-0990,paquetes,finalizado
27,107-73-5531,puerta a puerta,aceptado
28,815-81-2178,encomienda,en curso
29,768-53-3997,comida,Disponible
30,486-70-9765,paquetes,No Dsiponible
31,845-17-2005,comida,No Dsiponible
32,729-40-7591,puerta a puerta,No Dsiponible
33,981-33-3552,puerta a puerta,finalizado
34,428-05-6622,encomienda,No Dsiponible
35,132-61-0397,paquetes,finalizado
36,047-90-5782,paquetes,cancelado
37,087-14-7590,paquetes,Disponible
38,083-42-7992,viaje,cancelado
39,888-90-9220,comida,No Dsiponible
40,789-51-7094,puerta a puerta,en curso
41,753-22-8480,encomienda,en curso
42,196-27-0561,comida,en curso
43,283-96-2599,puerta a puerta,en curso
44,301-66-2319,comida,cancelado
45,939-96-3962,paquetes,cancelado
46,010-07-8805,puerta a puerta,finalizado
47,060-22-1139,paquetes,finalizado
48,556-73-4469,paquetes,Disponible
49,530-90-3931,paquetes,No Dsiponible
50,216-86-7724,encomienda,finalizado
51,464-79-5068,comida,en curso
52,401-14-0031,viaje,finalizado
53,851-48-8290,viaje,finalizado
54,356-66-5600,puerta a puerta,en curso
55,697-03-3562,encomienda,Disponible
56,809-66-0753,paquetes,finalizado
57,425-90-0879,encomienda,No Dsiponible
58,464-25-4583,viaje,finalizado
59,592-10-6486,comida,Disponible
60,338-91-6087,puerta a puerta,cancelado
61,829-50-4775,encomienda,No Dsiponible
62,512-62-2075,viaje,aceptado
63,901-27-8070,encomienda,No Dsiponible
64,343-42-8385,encomienda,No Dsiponible
65,068-03-2792,paquetes,aceptado
66,562-78-3399,paquetes,No Dsiponible
67,647-77-8937,paquetes,aceptado
68,522-01-6095,comida,cancelado
69,068-20-7998,viaje,aceptado
70,782-05-6745,puerta a puerta,finalizado
71,858-88-4144,viaje,finalizado
72,486-24-0810,viaje,No Dsiponible
73,074-98-2654,paquetes,No Dsiponible
74,940-83-6751,comida,Disponible
75,879-71-7738,viaje,en curso
76,652-93-7979,viaje,aceptado
77,090-93-4521,puerta a puerta,aceptado
78,692-76-5372,encomienda,Disponible
79,027-53-7074,encomienda,cancelado
80,667-57-4266,paquetes,en curso
81,015-14-7626,paquetes,aceptado
82,421-40-3646,viaje,Disponible
83,794-04-8348,encomienda,aceptado
84,377-24-9109,encomienda,Disponible
85,615-56-0922,comida,aceptado
86,450-07-5903,comida,Disponible
87,731-04-2169,paquetes,Disponible
88,683-20-1828,viaje,No Dsiponible
89,830-23-1727,paquetes,cancelado
90,840-24-3584,viaje,Disponible
91,429-64-9070,puerta a puerta,cancelado
92,675-10-0345,paquetes,Disponible
93,990-46-8856,comida,cancelado
94,298-14-6389,paquetes,cancelado
95,892-67-3353,viaje,finalizado
96,722-36-2864,comida,Disponible
97,652-80-4758,paquetes,en curso
98,090-14-7830,encomienda,Disponible
99,923-66-3659,comida,No Dsiponible
100,076-64-1514,viaje,en curso
101,076-42-9092,encomienda,aceptado
102,080-48-9726,viaje,en curso
103,186-29-6857,encomienda,en curso
104,345-17-6781,viaje,cancelado
105,723-58-4298,comida,en curso
106,868-16-6720,viaje,Disponible
107,283-06-7856,encomienda,No Dsiponible
108,594-70-4961,encomienda,finalizado
109,951-38-6112,encomienda,en curso
